1.0682 	WARNING 	sounddevice audio lib was requested but not loaded: sounddevice not working
1.0696 	WARNING 	PTB audio lib was requested but not loaded: psychtoolbox audio failed to import
1.0871 	WARNING 	pyo audio lib was requested but not loaded: ModuleNotFoundError("No module named 'pyo'",)
1.6795 	WARNING 	Import Error: No module named 'psychtoolbox'. Using event module for keyboard component.
5.0955 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
5.3538 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f1175fdd3c8>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f1174865e48>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.3538 	EXP 	window1: recordFrameIntervals = False
5.3697 	EXP 	window1: recordFrameIntervals = True
5.3878 	EXP 	window1: recordFrameIntervals = False
5.4551 	EXP 	Created textWelcome = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='textWelcome', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
5.4623 	EXP 	Created textStart = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='textStart', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
5.4628 	WARNING 	Requested image 'images/light_grey_box' not found but similar filename 'images/light_grey_box.png' exists. This will be used instead but changing the filename is advised.
5.4797 	EXP 	Created imageTrailBefore_1 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='images/light_grey_box', interpolate=True, mask=None, maskParams=None, name='imageTrailBefore_1', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.25, 0.25]), texRes=256, units='height', win=Window(...))
5.4801 	WARNING 	Requested image 'images/light_grey_box' not found but similar filename 'images/light_grey_box.png' exists. This will be used instead but changing the filename is advised.
5.4961 	EXP 	Created imageTrialBefore_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='images/light_grey_box', interpolate=True, mask=None, maskParams=None, name='imageTrialBefore_2', opacity=1.0, ori=0.0, pos=array([-0.5,  0. ]), size=array([0.25, 0.25]), texRes=128, units='height', win=Window(...))
5.4964 	WARNING 	Requested image 'images/light_grey_box' not found but similar filename 'images/light_grey_box.png' exists. This will be used instead but changing the filename is advised.
5.5101 	EXP 	Created imageTrialBefore_3 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='images/light_grey_box', interpolate=True, mask=None, maskParams=None, name='imageTrialBefore_3', opacity=1.0, ori=0.0, pos=array([0.5, 0. ]), size=array([0.25, 0.25]), texRes=128, units='height', win=Window(...))
5.5116 	EXP 	Created imageTrialCue_1 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='imageTrialCue_1', opacity=1.0, ori=0.0, pos=array([-0.5,  0. ]), size=array([0.25, 0.25]), texRes=128, units='height', win=Window(...))
5.5129 	EXP 	Created imageTrialCue_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='imageTrialCue_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.25, 0.25]), texRes=128, units='height', win=Window(...))
5.5143 	EXP 	Created imageTrialCue_3 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='imageTrialCue_3', opacity=1.0, ori=0.0, pos=array([0.5, 0. ]), size=array([0.25, 0.25]), texRes=128, units='height', win=Window(...))
5.5156 	EXP 	Created imageTrialTarget_1 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='imageTrialTarget_1', opacity=1.0, ori=0.0, pos=array([-0.5,  0. ]), size=array([0.25, 0.25]), texRes=128, units='height', win=Window(...))
5.5168 	EXP 	Created imageTrialTarget_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='imageTrialTarget_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.25, 0.25]), texRes=128, units='height', win=Window(...))
5.5182 	EXP 	Created imageTrialTarget_3 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='imageTrialTarget_3', opacity=1.0, ori=0.0, pos=array([0.5, 0. ]), size=array([0.25, 0.25]), texRes=128, units='height', win=Window(...))
5.5187 	EXP 	Created textBlank500 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='textBlank500', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='', units='height', win=Window(...), wrapWidth=1)
5.5230 	EXP 	Created textEndSceen = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='textEndSceen', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Thank you for participating. ', units='height', win=Window(...), wrapWidth=1)
5.5250 	EXP 	textWelcome: autoDraw = True
30.6606 	DATA 	Keypress: space
30.6621 	EXP 	textWelcome: autoDraw = False
30.6621 	EXP 	textStart: autoDraw = True
31.3957 	DATA 	Keypress: space
31.4186 	EXP 	Imported image_stimuli.xlsx as conditions, 120 conditions, 9 params
31.4191 	EXP 	Created sequence: fullRandom, trialTypes=120, nReps=1, seed=None
31.4195 	EXP 	New trial (rep=0, index=0): OrderedDict([('image_cue_1', 'images/light_grey_box'), ('image_cue_2', 'images/light_grey_box'), ('image_cue_3', 'images/light_grey_box'), ('image_target_1', 'images/light_grey_box'), ('image_target_2', 'images/light_grey_box_with_target'), ('image_target_3', 'images/light_grey_box'), ('targetStart', 0), ('startTime', 0.1), ('endTime', 0.25)])
31.4212 	EXP 	textStart: autoDraw = False
31.4212 	EXP 	imageTrailBefore_1: autoDraw = True
31.4212 	EXP 	imageTrialBefore_2: autoDraw = True
31.4212 	EXP 	imageTrialBefore_3: autoDraw = True
32.3978 	WARNING 	Requested image 'images/light_grey_box' not found but similar filename 'images/light_grey_box.png' exists. This will be used instead but changing the filename is advised.
32.4108 	WARNING 	Requested image 'images/light_grey_box' not found but similar filename 'images/light_grey_box.png' exists. This will be used instead but changing the filename is advised.
32.4244 	WARNING 	Requested image 'images/light_grey_box' not found but similar filename 'images/light_grey_box.png' exists. This will be used instead but changing the filename is advised.
32.4386 	EXP 	imageTrailBefore_1: autoDraw = False
32.4386 	EXP 	imageTrialBefore_2: autoDraw = False
32.4386 	EXP 	imageTrialBefore_3: autoDraw = False
32.4386 	EXP 	imageTrialCue_1: image = 'images/light_grey_box'
32.4386 	EXP 	imageTrialCue_2: image = 'images/light_grey_box'
32.4386 	EXP 	imageTrialCue_3: image = 'images/light_grey_box'
32.4386 	EXP 	imageTrialCue_1: autoDraw = True
32.4386 	EXP 	imageTrialCue_2: autoDraw = True
32.4386 	EXP 	imageTrialCue_3: autoDraw = True
32.5485 	WARNING 	Requested image 'images/light_grey_box' not found but similar filename 'images/light_grey_box.png' exists. This will be used instead but changing the filename is advised.
32.5625 	WARNING 	Requested image 'images/light_grey_box_with_target' not found but similar filename 'images/light_grey_box_with_target.png' exists. This will be used instead but changing the filename is advised.
32.5780 	WARNING 	Requested image 'images/light_grey_box' not found but similar filename 'images/light_grey_box.png' exists. This will be used instead but changing the filename is advised.
32.5922 	EXP 	imageTrialCue_1: autoDraw = False
32.5922 	EXP 	imageTrialCue_2: autoDraw = False
32.5922 	EXP 	imageTrialCue_3: autoDraw = False
32.5922 	EXP 	imageTrialTarget_1: image = 'images/light_grey_box'
32.5922 	EXP 	imageTrialTarget_2: image = 'images/light_grey_box_with_target'
32.5922 	EXP 	imageTrialTarget_3: image = 'images/light_grey_box'
32.6147 	EXP 	imageTrialTarget_1: autoDraw = True
32.6147 	EXP 	imageTrialTarget_2: autoDraw = True
32.6147 	EXP 	imageTrialTarget_3: autoDraw = True
32.7398 	EXP 	imageTrialTarget_1: autoDraw = False
32.7398 	EXP 	imageTrialTarget_2: autoDraw = False
32.7398 	EXP 	imageTrialTarget_3: autoDraw = False
35.1632 	DATA 	Keypress: space
35.1657 	EXP 	imageTrialTarget_1: autoDraw = False
35.1657 	EXP 	imageTrialTarget_2: autoDraw = False
35.1657 	EXP 	imageTrialTarget_3: autoDraw = False
35.1657 	EXP 	textBlank500: autoDraw = True
35.6651 	EXP 	New trial (rep=0, index=1): OrderedDict([('image_cue_1', 'images/light_grey_box'), ('image_cue_2', 'images/light_grey_box'), ('image_cue_3', 'images/light_grey_box_with_cue'), ('image_target_1', 'images/light_grey_box'), ('image_target_2', 'images/light_grey_box_with_target'), ('image_target_3', 'images/light_grey_box'), ('targetStart', 0), ('startTime', 0.0), ('endTime', 0.15)])
35.6671 	EXP 	textBlank500: autoDraw = False
35.6671 	EXP 	imageTrailBefore_1: autoDraw = True
35.6671 	EXP 	imageTrialBefore_2: autoDraw = True
35.6671 	EXP 	imageTrialBefore_3: autoDraw = True
36.6652 	WARNING 	Requested image 'images/light_grey_box' not found but similar filename 'images/light_grey_box.png' exists. This will be used instead but changing the filename is advised.
36.6774 	WARNING 	Requested image 'images/light_grey_box' not found but similar filename 'images/light_grey_box.png' exists. This will be used instead but changing the filename is advised.
36.6888 	WARNING 	Requested image 'images/light_grey_box_with_cue' not found but similar filename 'images/light_grey_box_with_cue.png' exists. This will be used instead but changing the filename is advised.
36.7036 	EXP 	imageTrailBefore_1: autoDraw = False
36.7036 	EXP 	imageTrialBefore_2: autoDraw = False
36.7036 	EXP 	imageTrialBefore_3: autoDraw = False
36.7036 	EXP 	imageTrialCue_1: image = 'images/light_grey_box'
36.7036 	EXP 	imageTrialCue_2: image = 'images/light_grey_box'
36.7036 	EXP 	imageTrialCue_3: image = 'images/light_grey_box_with_cue'
36.7036 	EXP 	imageTrialCue_1: autoDraw = True
36.7036 	EXP 	imageTrialCue_2: autoDraw = True
36.7036 	EXP 	imageTrialCue_3: autoDraw = True
36.8160 	WARNING 	Requested image 'images/light_grey_box' not found but similar filename 'images/light_grey_box.png' exists. This will be used instead but changing the filename is advised.
36.8277 	WARNING 	Requested image 'images/light_grey_box_with_target' not found but similar filename 'images/light_grey_box_with_target.png' exists. This will be used instead but changing the filename is advised.
36.8411 	WARNING 	Requested image 'images/light_grey_box' not found but similar filename 'images/light_grey_box.png' exists. This will be used instead but changing the filename is advised.
36.8539 	EXP 	imageTrialCue_1: autoDraw = False
36.8539 	EXP 	imageTrialCue_2: autoDraw = False
36.8539 	EXP 	imageTrialCue_3: autoDraw = False
36.8539 	EXP 	imageTrialTarget_1: image = 'images/light_grey_box'
36.8539 	EXP 	imageTrialTarget_2: image = 'images/light_grey_box_with_target'
36.8539 	EXP 	imageTrialTarget_3: image = 'images/light_grey_box'
36.8565 	EXP 	imageTrialTarget_1: autoDraw = True
36.8565 	EXP 	imageTrialTarget_2: autoDraw = True
36.8565 	EXP 	imageTrialTarget_3: autoDraw = True
37.0051 	EXP 	imageTrialTarget_1: autoDraw = False
37.0051 	EXP 	imageTrialTarget_2: autoDraw = False
37.0051 	EXP 	imageTrialTarget_3: autoDraw = False
37.1055 	DATA 	Keypress: space
37.1075 	EXP 	imageTrialTarget_1: autoDraw = False
37.1075 	EXP 	imageTrialTarget_2: autoDraw = False
37.1075 	EXP 	imageTrialTarget_3: autoDraw = False
37.1075 	EXP 	textBlank500: autoDraw = True
37.6061 	EXP 	New trial (rep=0, index=2): OrderedDict([('image_cue_1', 'images/light_grey_box_with_cue'), ('image_cue_2', 'images/light_grey_box'), ('image_cue_3', 'images/light_grey_box'), ('image_target_1', 'images/light_grey_box'), ('image_target_2', 'images/light_grey_box_with_target'), ('image_target_3', 'images/light_grey_box'), ('targetStart', 0), ('startTime', 0.1), ('endTime', 0.25)])
37.6075 	EXP 	textBlank500: autoDraw = False
37.6075 	EXP 	textBlank500: autoDraw = False
37.6075 	EXP 	imageTrailBefore_1: autoDraw = True
37.6075 	EXP 	imageTrialBefore_2: autoDraw = True
37.6075 	EXP 	imageTrialBefore_3: autoDraw = True
38.6056 	WARNING 	Requested image 'images/light_grey_box_with_cue' not found but similar filename 'images/light_grey_box_with_cue.png' exists. This will be used instead but changing the filename is advised.
38.6197 	WARNING 	Requested image 'images/light_grey_box' not found but similar filename 'images/light_grey_box.png' exists. This will be used instead but changing the filename is advised.
38.6312 	WARNING 	Requested image 'images/light_grey_box' not found but similar filename 'images/light_grey_box.png' exists. This will be used instead but changing the filename is advised.
38.6444 	EXP 	imageTrailBefore_1: autoDraw = False
38.6444 	EXP 	imageTrialBefore_2: autoDraw = False
38.6444 	EXP 	imageTrialBefore_3: autoDraw = False
38.6444 	EXP 	imageTrailBefore_1: autoDraw = False
38.6444 	EXP 	imageTrialBefore_2: autoDraw = False
38.6444 	EXP 	imageTrialBefore_3: autoDraw = False
38.6444 	EXP 	imageTrialCue_1: image = 'images/light_grey_box_with_cue'
38.6444 	EXP 	imageTrialCue_2: image = 'images/light_grey_box'
38.6444 	EXP 	imageTrialCue_3: image = 'images/light_grey_box'
38.6444 	EXP 	imageTrialCue_1: autoDraw = True
38.6444 	EXP 	imageTrialCue_2: autoDraw = True
38.6444 	EXP 	imageTrialCue_3: autoDraw = True
38.7577 	WARNING 	Requested image 'images/light_grey_box' not found but similar filename 'images/light_grey_box.png' exists. This will be used instead but changing the filename is advised.
38.7697 	WARNING 	Requested image 'images/light_grey_box_with_target' not found but similar filename 'images/light_grey_box_with_target.png' exists. This will be used instead but changing the filename is advised.
38.7832 	WARNING 	Requested image 'images/light_grey_box' not found but similar filename 'images/light_grey_box.png' exists. This will be used instead but changing the filename is advised.
38.7964 	EXP 	imageTrialCue_1: autoDraw = False
38.7964 	EXP 	imageTrialCue_2: autoDraw = False
38.7964 	EXP 	imageTrialCue_3: autoDraw = False
38.7964 	EXP 	imageTrialTarget_1: image = 'images/light_grey_box'
38.7964 	EXP 	imageTrialTarget_2: image = 'images/light_grey_box_with_target'
38.7964 	EXP 	imageTrialTarget_3: image = 'images/light_grey_box'
38.7993 	EXP 	imageTrialTarget_1: autoDraw = True
38.7993 	EXP 	imageTrialTarget_2: autoDraw = True
38.7993 	EXP 	imageTrialTarget_3: autoDraw = True
38.9523 	EXP 	imageTrialTarget_1: autoDraw = False
38.9523 	EXP 	imageTrialTarget_2: autoDraw = False
38.9523 	EXP 	imageTrialTarget_3: autoDraw = False
38.9854 	DATA 	Keypress: space
38.9879 	EXP 	imageTrialTarget_1: autoDraw = False
38.9879 	EXP 	imageTrialTarget_2: autoDraw = False
38.9879 	EXP 	imageTrialTarget_3: autoDraw = False
38.9879 	EXP 	textBlank500: autoDraw = True
39.4869 	EXP 	New trial (rep=0, index=3): OrderedDict([('image_cue_1', 'images/light_grey_box_with_cue'), ('image_cue_2', 'images/light_grey_box'), ('image_cue_3', 'images/light_grey_box'), ('image_target_1', 'images/light_grey_box'), ('image_target_2', 'images/light_grey_box_with_target'), ('image_target_3', 'images/light_grey_box'), ('targetStart', 0), ('startTime', 0.1), ('endTime', 0.25)])
39.4896 	EXP 	textBlank500: autoDraw = False
39.4896 	EXP 	imageTrailBefore_1: autoDraw = True
39.4896 	EXP 	imageTrialBefore_2: autoDraw = True
39.4896 	EXP 	imageTrialBefore_3: autoDraw = True
40.4879 	WARNING 	Requested image 'images/light_grey_box_with_cue' not found but similar filename 'images/light_grey_box_with_cue.png' exists. This will be used instead but changing the filename is advised.
40.5018 	WARNING 	Requested image 'images/light_grey_box' not found but similar filename 'images/light_grey_box.png' exists. This will be used instead but changing the filename is advised.
40.5132 	WARNING 	Requested image 'images/light_grey_box' not found but similar filename 'images/light_grey_box.png' exists. This will be used instead but changing the filename is advised.
