image_cue_1,image_cue_2,image_cue_3,image_target_1,image_target_2,image_target_3,targetStart,startTime,endTime,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textStart.started,textStart.stopped,keyStart.keys,keyStart.rt,keyStart.started,keyStart.stopped,imageTrailBefore_1.started,imageTrailBefore_1.stopped,imageTrialBefore_2.started,imageTrialBefore_2.stopped,imageTrialBefore_3.started,imageTrialBefore_3.stopped,imageTrialCue_1.started,imageTrialCue_1.stopped,imageTrialCue_2.started,imageTrialCue_2.stopped,imageTrialCue_3.started,imageTrialCue_3.stopped,TrialSceenTargetStart,TrialSceenTargetEnd,imageTrialTarget_1.started,imageTrialTarget_1.stopped,imageTrialTarget_2.started,imageTrialTarget_2.stopped,imageTrialTarget_3.started,imageTrialTarget_3.stopped,keyResponse.keys,keyResponse.rt,keyResponse.started,keyResponse.stopped,textBlank500.started,textBlank500.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,13.123497200023849,None,space,40.48471829999471,13.123497200023849,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2020_Apr_15_1924,experiment,2020.1.3,59.98418815933137,
,,,,,,,,,,,,,,,,,,,53.62780850002309,None,space,2.8147260999539867,53.62780850002309,None,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2020_Apr_15_1924,experiment,2020.1.3,59.98418815933137,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,0,0.05,0.2,0,0,0,27,,,,,,,,,,,,,56.56403649999993,None,56.56403649999993,None,56.56403649999993,None,57.52849100000458,None,57.52849100000458,None,57.52849100000458,None,0.5,0.65,57.70618400000967,57.82280920003541,57.70618400000967,57.82280920003541,57.70618400000967,57.82280920003541,space,5.842072199971881,57.70618400000967,None,63.57516120001674,None,3,001,2020_Apr_15_1924,experiment,2020.1.3,59.98418815933137,
images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.3,0.45,0,1,1,96,,,,,,,,,,,,,64.08852210000623,None,64.08852210000623,None,64.08852210000623,None,65.11666120000882,None,65.11666120000882,None,65.11666120000882,None,0.3,0.44999999999999996,65.26912750001065,65.55590620002476,65.26912750001065,65.55590620002476,65.26912750001065,65.55590620002476,space,8.53624889999628,65.26912750001065,None,73.83675050002057,None,3,001,2020_Apr_15_1924,experiment,2020.1.3,59.98418815933137,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.2,0.35,0,2,2,65,,,,,,,,,,,,,74.3386637000367,None,74.3386637000367,None,74.3386637000367,None,75.38026900001569,None,75.38026900001569,None,75.38026900001569,None,0.2,0.35,75.63655090000248,75.67064440000104,75.63655090000248,75.67064440000104,75.63655090000248,75.67064440000104,space,5.615038400050253,75.63655090000248,None,81.26893349998863,None,3,001,2020_Apr_15_1924,experiment,2020.1.3,59.98418815933137,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.0,0.15,0,3,3,1,,,,,,,,,,,,,81.78468620002968,None,81.78468620002968,None,81.78468620002968,None,82.79726960003609,None,82.79726960003609,None,82.79726960003609,None,0.2,0.35,82.94824810000136,None,82.94824810000136,None,82.94824810000136,None,space,0.23678600002313033,82.94824810000136,None,83.201633699995,None,3,001,2020_Apr_15_1924,experiment,2020.1.3,59.98418815933137,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,0,0.5,0.65,0,4,4,108,,,,,,,,,,,,,83.7010081000044,None,83.7010081000044,None,83.7010081000044,None,84.71324220002862,None,84.71324220002862,None,84.71324220002862,None,0.2,0.35,84.87913840002147,85.03405539999949,84.87913840002147,85.03405539999949,84.87913840002147,85.03405539999949,space,0.41172780003398657,84.87913840002147,None,85.31892170000356,None,3,001,2020_Apr_15_1924,experiment,2020.1.3,59.98418815933137,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.0,0.15,0,5,5,15,,,,,,,,,,,,,85.83388480002759,None,85.83388480002759,None,85.83388480002759,None,86.84689099999378,None,86.84689099999378,None,86.84689099999378,None,0.2,0.35,87.16754300001776,87.18433610000648,87.16754300001776,87.18433610000648,87.16754300001776,87.18433610000648,space,4.269107899977826,87.16754300001776,None,91.46683839999605,None,3,001,2020_Apr_15_1924,experiment,2020.1.3,59.98418815933137,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,0,0.05,0.2,0,6,6,37,,,,,,,,,,,,,91.96607060002862,None,91.96607060002862,None,91.96607060002862,None,92.98304810002446,None,92.98304810002446,None,92.98304810002446,None,0.1,0.25,93.16590190003626,93.29903029999696,93.16590190003626,93.29903029999696,93.16590190003626,93.29903029999696,space,2.4102724999538623,93.16590190003626,None,95.59950310003478,None,3,001,2020_Apr_15_1924,experiment,2020.1.3,59.98418815933137,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.3,0.45,0,7,7,92,,,,,,,,,,,,,96.11517730000196,None,96.11517730000196,None,96.11517730000196,None,97.12919260002673,None,97.12919260002673,None,97.12919260002673,None,0.2,0.35,97.38151690002996,97.51487800001632,97.38151690002996,97.51487800001632,97.38151690002996,97.51487800001632,space,0.3541601999895647,97.38151690002996,None,97.76565660000779,None,3,001,2020_Apr_15_1924,experiment,2020.1.3,59.98418815933137,
