image_cue_1,image_cue_2,image_cue_3,image_target_1,image_target_2,image_target_3,targetStart,startTime,endTime,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textStart.started,textStart.stopped,keyStart.keys,keyStart.rt,keyStart.started,keyStart.stopped,imageTrailBefore_1.started,imageTrailBefore_1.stopped,imageTrialBefore_2.started,imageTrialBefore_2.stopped,imageTrialBefore_3.started,imageTrialBefore_3.stopped,imageTrialCue_1.started,imageTrialCue_1.stopped,imageTrialCue_2.started,imageTrialCue_2.stopped,imageTrialCue_3.started,imageTrialCue_3.stopped,TrialSceenTargetStart,TrialSceenTargetEnd,imageTrialTarget_1.started,imageTrialTarget_1.stopped,imageTrialTarget_2.started,imageTrialTarget_2.stopped,imageTrialTarget_3.started,imageTrialTarget_3.stopped,keyResponse.keys,keyResponse.rt,keyResponse.started,keyResponse.stopped,textBlank500.started,textBlank500.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,30.032913581000003,None,space,4.539898351000005,30.032913581000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2020_Apr_18_1911,experiment,2020.1.3,584.0671163204329,
,,,,,,,,,,,,,,,,,,,34.57505735700002,None,space,2.0189089370000204,34.57505735700002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2020_Apr_18_1911,experiment,2020.1.3,584.0671163204329,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,0,0.0,0.15,0,0,0,8,,,,,,,,,,,,,36.72495118900002,None,36.72495118900002,None,36.72495118900002,None,37.640290424,None,37.640290424,None,37.640290424,None,0.0,0.15,37.801912918,37.93947873800002,37.801912918,37.93947873800002,37.801912918,37.93947873800002,space,1.4568408559999853,37.801912918,None,39.26124267600002,None,9,001,2020_Apr_18_1911,experiment,2020.1.3,584.0671163204329,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,0,0.0,0.15,0,1,1,7,,,,,,,,,,,,,39.76132931400002,None,39.76132931400002,None,39.76132931400002,None,40.79910150800001,None,40.79910150800001,None,40.79910150800001,None,0.3,0.44999999999999996,40.95500851100002,41.10890021,40.95500851100002,41.10890021,40.95500851100002,41.10890021,space,0.37851916200000346,40.95500851100002,None,41.335979228000014,None,9,001,2020_Apr_18_1911,experiment,2020.1.3,584.0671163204329,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,0,0.0,0.15,0,2,2,9,,,,,,,,,,,,,41.83726746300002,None,41.83726746300002,None,41.83726746300002,None,42.87415698200002,None,42.87415698200002,None,42.87415698200002,None,0.3,0.44999999999999996,43.029890768,43.19023961800002,43.029890768,43.19023961800002,43.029890768,43.19023961800002,space,1.4948708649999958,43.029890768,None,44.527198621,None,9,001,2020_Apr_18_1911,experiment,2020.1.3,584.0671163204329,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.3,0.45,0,3,3,90,,,,,,,,,,,,,45.026699627,None,45.026699627,None,45.026699627,None,46.077157481,None,46.077157481,None,46.077157481,None,0.3,0.44999999999999996,46.222611742,46.36174792900002,46.222611742,46.36174792900002,46.222611742,46.36174792900002,space,0.3270851279999931,46.222611742,None,46.55202449400002,None,9,001,2020_Apr_18_1911,experiment,2020.1.3,584.0671163204329,
images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.05,0.2,0,4,4,34,,,,,,,,,,,,,47.05218262300002,None,47.05218262300002,None,47.05218262300002,None,48.08787863400002,None,48.08787863400002,None,48.08787863400002,None,0.3,0.44999999999999996,48.28342401100002,48.43377331300002,48.28342401100002,48.43377331300002,48.28342401100002,48.43377331300002,space,4.004206537000016,48.28342401100002,None,52.29009073900002,None,9,001,2020_Apr_18_1911,experiment,2020.1.3,584.0671163204329,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.5,0.65,0,5,5,111,,,,,,,,,,,,,52.79112873700001,None,52.79112873700001,None,52.79112873700001,None,53.828782933000014,None,53.828782933000014,None,53.828782933000014,None,0.2,0.35,53.984618599000015,54.133968353,53.984618599000015,54.133968353,53.984618599000015,54.133968353,space,1.605932574999997,53.984618599000015,None,55.592850852,None,9,001,2020_Apr_18_1911,experiment,2020.1.3,584.0671163204329,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.5,0.65,0,6,6,103,,,,,,,,,,,,,56.093021762000006,None,56.093021762000006,None,56.093021762000006,None,57.130346941,None,57.130346941,None,57.130346941,None,0.3,0.44999999999999996,57.28482734000002,57.43190246,57.28482734000002,57.43190246,57.28482734000002,57.43190246,space,0.7554184720000023,57.28482734000002,None,58.042189154,None,9,001,2020_Apr_18_1911,experiment,2020.1.3,584.0671163204329,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.5,0.65,0,7,7,112,,,,,,,,,,,,,58.54208381800001,None,58.54208381800001,None,58.54208381800001,None,59.580432970000004,None,59.580432970000004,None,59.580432970000004,None,0.5,0.65,59.740895764000015,59.89358649900001,59.740895764000015,59.89358649900001,59.740895764000015,59.89358649900001,space,0.31658529499998167,59.740895764000015,None,60.059361800000005,None,9,001,2020_Apr_18_1911,experiment,2020.1.3,584.0671163204329,
images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.1,0.25,0,8,8,56,,,,,,,,,,,,,60.560181634,None,60.560181634,None,60.560181634,None,61.59536538100002,None,61.59536538100002,None,61.59536538100002,None,0.3,0.44999999999999996,61.762619685000004,61.90161505100002,61.762619685000004,61.90161505100002,61.762619685000004,61.90161505100002,space,0.25917551099999514,61.762619685000004,None,62.024132458,None,9,001,2020_Apr_18_1911,experiment,2020.1.3,584.0671163204329,
images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.1,0.25,0,9,9,55,,,,,,,,,,,,,62.52529474300002,None,62.52529474300002,None,62.52529474300002,None,63.581435752000004,None,63.581435752000004,None,63.581435752000004,None,0.3,0.44999999999999996,63.72315591100002,63.86697652800001,63.72315591100002,63.86697652800001,63.72315591100002,63.86697652800001,space,0.2594545910000079,63.72315591100002,None,63.98495950900002,None,9,001,2020_Apr_18_1911,experiment,2020.1.3,584.0671163204329,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,0,0.3,0.45,0,10,10,99,,,,,,,,,,,,,64.48416078400001,None,64.48416078400001,None,64.48416078400001,None,65.52153632400001,None,65.52153632400001,None,65.52153632400001,None,0.05,0.2,65.700490543,65.851418349,65.700490543,65.851418349,65.700490543,65.851418349,space,26.075767041999967,65.700490543,None,91.77891616700003,None,9,001,2020_Apr_18_1911,experiment,2020.1.3,584.0671163204329,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,images/light_grey_box,0,0.0,0.15,0,11,11,6,,,,,,,,,,,,,92.27829336400004,None,92.27829336400004,None,92.27829336400004,None,93.318910738,None,93.318910738,None,93.318910738,None,0.0,0.15,93.467197951,93.61356851099998,93.467197951,93.61356851099998,93.467197951,93.61356851099998,space,0.3012311179999756,93.467197951,None,93.77093575399999,None,9,001,2020_Apr_18_1911,experiment,2020.1.3,584.0671163204329,
