image_cue_1,image_cue_2,image_cue_3,image_target_1,image_target_2,image_target_3,targetStart,startTime,endTime,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textStart.started,textStart.stopped,keyStart.keys,keyStart.rt,keyStart.started,keyStart.stopped,imageTrailBefore_1.started,imageTrailBefore_1.stopped,imageTrialBefore_2.started,imageTrialBefore_2.stopped,imageTrialBefore_3.started,imageTrialBefore_3.stopped,imageTrialCue_1.started,imageTrialCue_1.stopped,imageTrialCue_2.started,imageTrialCue_2.stopped,imageTrialCue_3.started,imageTrialCue_3.stopped,TrialSceenTargetStart,TrialSceenTargetEnd,imageTrialTarget_1.started,imageTrialTarget_1.stopped,imageTrialTarget_2.started,imageTrialTarget_2.stopped,imageTrialTarget_3.started,imageTrialTarget_3.stopped,keyResponse.keys,keyResponse.rt,keyResponse.started,keyResponse.stopped,textBlank500.started,textBlank500.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,16.47003859997494,None,space,1.500764700002037,16.47003859997494,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2020_Apr_15_1939,experiment,2020.1.3,59.95840086580645,
,,,,,,,,,,,,,,,,,,,18.004209899983834,None,space,1.6868315999745391,18.004209899983834,None,,,,,,,,,,,,,,,,,,,,,,,,,,,5,001,2020_Apr_15_1939,experiment,2020.1.3,59.95840086580645,
images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.5,0.65,0,0,0,113,,,,,,,,,,,,,19.80772009998327,None,19.80772009998327,None,19.80772009998327,None,20.802571600012016,None,20.802571600012016,None,20.802571600012016,None,0.5,0.65,21.018970599980094,21.06837330001872,21.018970599980094,21.06837330001872,21.018970599980094,21.06837330001872,space,0.21260389999952167,21.018970599980094,None,21.257052099972498,None,5,001,2020_Apr_15_1939,experiment,2020.1.3,59.95840086580645,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,0,0.1,0.25,0,1,1,59,,,,,,,,,,,,,21.76855759997852,None,21.76855759997852,None,21.76855759997852,None,22.781598099973053,None,22.781598099973053,None,22.781598099973053,None,0.1,0.25,22.950001800025348,23.083457099972293,22.950001800025348,23.083457099972293,22.950001800025348,23.083457099972293,space,0.1504306000424549,22.950001800025348,None,23.117491999990307,None,5,001,2020_Apr_15_1939,experiment,2020.1.3,59.95840086580645,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.0,0.15,0,2,2,15,,,,,,,,,,,,,23.616631100012455,None,23.616631100012455,None,23.616631100012455,None,24.629883699992206,None,24.629883699992206,None,24.629883699992206,None,0.0,0.15,24.814133599982597,24.94993090000935,24.814133599982597,24.94993090000935,24.814133599982597,24.94993090000935,space,0.2115229000337422,24.814133599982597,None,25.05118449998554,None,5,001,2020_Apr_15_1939,experiment,2020.1.3,59.95840086580645,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.05,0.2,0,3,3,21,,,,,,,,,,,,,25.566488299984485,None,25.566488299984485,None,25.566488299984485,None,26.578170099994168,None,26.578170099994168,None,26.578170099994168,None,0.0,0.15,26.74713510001311,None,26.74713510001311,None,26.74713510001311,None,space,0.11214019998442382,26.74713510001311,None,26.883441400015727,None,5,001,2020_Apr_15_1939,experiment,2020.1.3,59.95840086580645,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.2,0.35,0,4,4,62,,,,,,,,,,,,,27.399025199993048,None,27.399025199993048,None,27.399025199993048,None,28.408971900003962,None,28.408971900003962,None,28.408971900003962,None,0.05,0.2,28.579965899989475,None,28.579965899989475,None,28.579965899989475,None,space,0.05634880001889542,28.579965899989475,None,28.666065700002946,None,5,001,2020_Apr_15_1939,experiment,2020.1.3,59.95840086580645,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,0,0.5,0.65,0,5,5,118,,,,,,,,,,,,,29.165455000009388,None,29.165455000009388,None,29.165455000009388,None,30.175659300002735,None,30.175659300002735,None,30.175659300002735,None,0.5,0.65,30.41536659997655,None,30.41536659997655,None,30.41536659997655,None,space,0.06320139998570085,30.41536659997655,None,30.500464999990072,None,5,001,2020_Apr_15_1939,experiment,2020.1.3,59.95840086580645,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.05,0.2,0,6,6,23,,,,,,,,,,,,,31.015041499980725,None,31.015041499980725,None,31.015041499980725,None,32.03491119999671,None,32.03491119999671,None,32.03491119999671,None,0.2,0.35,32.196320199989714,32.33150159998331,32.196320199989714,32.33150159998331,32.196320199989714,32.33150159998331,space,0.31378219998441637,32.196320199989714,None,32.53236830001697,None,5,001,2020_Apr_15_1939,experiment,2020.1.3,59.95840086580645,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.3,0.45,0,7,7,80,,,,,,,,,,,,,33.03169209999032,None,33.03169209999032,None,33.03169209999032,None,34.04556970001431,None,34.04556970001431,None,34.04556970001431,None,0.05,0.2,34.20768400002271,34.38099640002474,34.20768400002271,34.38099640002474,34.20768400002271,34.38099640002474,space,2.0412296000286005,34.20768400002271,None,36.26592570001958,None,5,001,2020_Apr_15_1939,experiment,2020.1.3,59.95840086580645,
